name,playerID,gameID,season,week,team,teamID,opponent,opponentID,fieldGoalsMade1_19-fieldGoalAttempts1_19,fieldGoalsMade20_29-fieldGoalAttempts20_29,fieldGoalsMade30_39-fieldGoalAttempts30_39,fieldGoalsMade40_49-fieldGoalAttempts40_49,fieldGoalsMade50-fieldGoalAttempts50,longFieldGoalMade,fieldGoalPct,fieldGoalsMade-fieldGoalAttempts,fieldGoalsMadeYardsAverage,extraPointsMade-extraPointAttempts,totalKickingPoints
Roberto Aguayo,2978887,400874727,2016,13,TB,27,SD,24,0-0,1-1,1-2,0-0,0-0,35,66.7,2-3,31,2-2,8
Roberto Aguayo,2978887,400874618,2016,3,TB,27,LAR,14,0-0,0-0,0-0,0-1,0-0,0,0.0,0-1,-,2-3,2
Roberto Aguayo,2978887,400874665,2016,12,TB,27,SEA,26,0-0,0-0,0-0,0-1,0-0,0,0.0,0-1,-,2-2,2
Roberto Aguayo,2978887,400874522,2016,1,TB,27,ATL,1,0-0,0-0,0-0,1-1,0-0,43,100.0,1-1,43,4-4,7
Roberto Aguayo,2978887,400874578,2016,10,TB,27,CHI,3,0-0,1-1,1-1,0-0,0-0,30,100.0,2-2,28,4-4,10
Roberto Aguayo,2978887,400874513,2016,16,TB,27,NO,18,0-0,0-0,1-1,0-0,0-0,35,100.0,1-1,35,3-3,6
Roberto Aguayo,2978887,400874635,2016,17,TB,27,CAR,29,0-0,0-0,1-1,0-2,0-0,33,33.3,1-3,33,2-2,5
Roberto Aguayo,2978887,400874679,2016,15,TB,27,DAL,6,0-0,1-1,1-1,0-0,0-0,34,100.0,2-2,30,2-2,8
Roberto Aguayo,2978887,400874503,2016,7,TB,27,SF,25,0-0,0-0,2-2,0-0,0-1,38,66.7,2-3,38,4-4,10
Roberto Aguayo,2978887,400874550,2016,14,TB,27,NO,18,0-0,1-1,1-1,1-1,0-0,41,100.0,3-3,35,1-1,10
Roberto Aguayo,2978887,400874561,2016,8,TB,27,OAK,13,0-0,0-0,0-0,1-1,0-0,41,100.0,1-1,41,1-2,4
Matt Ammendola,3919602,401437773,2022,5,ARI,22,PHI,21,0-0,1-1,0-0,0-1,0-0,20,50.0,1-2,20,2-2,5
Matt Ammendola,3919602,401437787,2022,6,ARI,22,SEA,26,0-0,1-1,0-0,0-0,0-0,23,100.0,1-1,23,0-1,3
Matt Ammendola,3919602,401437638,2022,3,KC,12,IND,11,0-0,1-1,0-1,0-0,0-0,26,50.0,1-2,26,0-1,3
Matt Ammendola,3919602,401434030,2022,2,KC,12,LAC,24,1-1,0-0,1-1,0-0,0-0,31,100.0,2-2,25,3-3,9
Matt Ammendola,3919602,401326498,2021,12,NYJ,20,HOU,34,0-0,0-0,2-2,0-1,0-0,37,67.0,2-3,51,1-1,7
Matt Ammendola,3919602,401326486,2021,11,NYJ,20,MIA,15,0-0,0-0,1-1,0-1,0-1,35,33.0,1-3,35,2-2,5
Matt Ammendola,3919602,401326387,2021,4,NYJ,20,TEN,10,0-0,2-2,0-0,0-0,0-0,27,100.0,2-2,24,3-3,9
Matt Ammendola,3919602,401326354,2021,2,NYJ,20,NE,17,0-0,1-1,1-1,0-0,0-1,35,67.0,2-3,28,0-0,6
Matt Ammendola,3919602,401326324,2021,5,NYJ,20,ATL,1,0-0,0-0,1-1,1-1,0-0,49,100.0,2-2,40,0-1,6
Matt Ammendola,3919602,401326444,2021,8,NYJ,20,CIN,4,0-0,2-2,0-0,0-0,0-1,24,67.0,2-3,24,2-2,8
Matt Ammendola,3919602,401326469,2021,10,NYJ,20,BUF,2,0-0,0-0,0-0,1-1,0-0,48,100.0,1-1,48,2-2,5
Matt Ammendola,3919602,401326427,2021,7,NYJ,20,NE,17,0-0,0-0,0-0,0-1,0-0,0,0.0,0-1,-,1-1,1
Michael Badgley,3123052,401437755,2022,4,CHI,3,NYG,19,0-0,2-2,1-1,1-1,0-0,40,100.0,4-4,32,0-0,12
Michael Badgley,3123052,401437877,2022,13,DET,8,JAX,30,0-0,0-0,1-1,3-3,0-0,47,100.0,4-4,44,4-4,16
Michael Badgley,3123052,401437834,2022,10,DET,8,CHI,3,0-0,1-1,0-0,0-0,0-0,25,100.0,1-1,25,4-4,7
Michael Badgley,3123052,401437823,2022,9,DET,8,GB,9,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,1-1,1
Michael Badgley,3123052,401437857,2022,12,DET,8,BUF,2,0-0,0-1,0-0,0-0,1-1,51,50.0,1-2,51,2-2,5
Michael Badgley,3123052,401437795,2022,7,DET,8,DAL,6,0-0,0-0,0-0,1-1,1-1,53,100.0,2-2,46,0-0,6
Michael Badgley,3123052,401437852,2022,11,DET,8,NYG,19,0-0,1-1,0-0,0-0,0-0,24,100.0,1-1,24,4-4,7
Michael Badgley,3123052,401437808,2022,8,DET,8,MIA,15,0-0,1-1,0-0,1-1,0-0,42,100.0,2-2,34,3-3,9
Michael Badgley,3123052,401437892,2022,14,DET,8,MIN,16,0-0,0-0,0-0,2-3,0-0,48,67.0,2-3,44,4-4,10
Michael Badgley,3123052,401326443,2021,8,IND,11,TEN,10,0-0,0-0,1-1,0-0,0-0,34,100.0,1-1,34,4-4,7
Michael Badgley,3123052,401326311,2021,1,TEN,10,ARI,22,0-0,0-0,0-0,0-1,0-0,0,0.0,0-1,-,1-2,1
Michael Badgley,3123052,401326555,2021,16,IND,11,ARI,22,0-0,0-0,1-1,1-1,0-1,41,67.0,2-3,39,2-2,8
Michael Badgley,3123052,401326467,2021,10,IND,11,JAX,30,0-0,2-2,1-1,0-0,0-0,37,100.0,3-3,30,2-2,11
Michael Badgley,3123052,401326434,2021,7,IND,11,SF,25,0-0,0-0,0-0,1-1,0-0,42,100.0,1-1,42,3-3,6
Michael Badgley,3123052,401326499,2021,12,IND,11,TB,27,0-0,0-0,0-0,1-1,0-0,45,100.0,1-1,45,4-4,7
Michael Badgley,3123052,401326514,2021,13,IND,11,HOU,34,0-0,1-1,0-1,0-0,0-0,23,50.0,1-2,23,4-4,7
Michael Badgley,3123052,401326415,2021,6,IND,11,HOU,34,0-0,0-0,0-0,1-1,0-0,41,100.0,1-1,41,4-4,7
Michael Badgley,3123052,401326591,2021,18,IND,11,JAX,30,0-0,0-0,0-0,1-1,0-0,41,100.0,1-1,41,0-0,3
Michael Badgley,3123052,401326480,2021,11,IND,11,BUF,2,0-0,0-0,2-2,0-0,0-0,36,100.0,2-2,36,5-5,11
Michael Badgley,3123052,401326573,2021,17,IND,11,LV,13,0-0,0-0,0-0,2-2,0-0,46,100.0,2-2,44,2-2,8
Michael Badgley,3123052,401326540,2021,15,IND,11,NE,17,0-0,1-1,0-0,1-2,0-0,41,67.0,2-3,33,3-3,9
Michael Badgley,3123052,401326451,2021,9,IND,11,NYJ,20,0-0,0-0,1-1,0-0,0-0,39,100.0,1-1,39,6-6,9
Michael Badgley,3123052,401220334,2020,4,LAC,24,TB,27,0-0,0-0,0-0,0-1,1-1,53,50.0,1-2,53,4-4,7
Michael Badgley,3123052,401220235,2020,2,LAC,24,KC,12,0-0,1-1,0-0,1-1,0-0,41,100.0,2-2,32,2-2,8
Michael Badgley,3123052,401220234,2020,16,LAC,24,DEN,7,0-0,1-1,2-2,1-1,0-0,43,100.0,4-4,36,1-1,13
Michael Badgley,3123052,401220212,2020,8,LAC,24,DEN,7,0-0,0-0,1-1,1-1,1-1,52,100.0,3-3,44,3-3,12
Michael Badgley,3123052,401220237,2020,13,LAC,24,NE,17,0-0,0-0,0-0,0-1,0-1,0,0.0,0-2,-,0-0,0
Michael Badgley,3123052,401220126,2020,10,LAC,24,MIA,15,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,3-3,3
Michael Badgley,3123052,401220236,2020,9,LAC,24,LV,13,0-0,1-1,0-0,1-2,0-0,45,66.7,2-3,37,2-2,8
Michael Badgley,3123052,401220228,2020,15,LAC,24,LV,13,0-0,1-1,0-0,0-1,0-1,22,33.3,1-3,22,3-3,6
Michael Badgley,3123052,401220239,2020,14,LAC,24,ATL,1,0-0,0-0,1-1,1-1,0-0,43,100.0,2-2,39,2-2,8
Michael Badgley,3123052,401220118,2020,12,LAC,24,BUF,2,0-0,1-1,0-0,0-0,0-0,27,100.0,1-1,27,0-1,3
Michael Badgley,3123052,401220238,2020,11,LAC,24,NYJ,20,0-0,1-1,0-0,1-1,0-0,44,100.0,2-2,34,4-4,10
Michael Badgley,3123052,401220326,2020,5,LAC,24,NO,18,0-0,0-0,0-0,0-0,0-1,0,0.0,0-1,-,3-4,3
Michael Badgley,3123052,401220161,2020,1,LAC,24,CIN,4,0-0,2-2,0-0,1-1,0-1,43,75.0,3-4,30,1-1,10
Michael Badgley,3123052,401220240,2020,3,LAC,24,CAR,29,0-0,0-0,0-0,1-1,0-0,41,100.0,1-1,41,1-1,4
Michael Badgley,3123052,401220220,2020,17,LAC,24,KC,12,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,4-4,4
Michael Badgley,3123052,401220241,2020,7,LAC,24,JAX,30,0-0,0-0,2-2,0-1,0-0,35,67.0,2-3,35,3-4,9
Michael Badgley,3123052,401127990,2019,17,LAC,24,KC,12,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,3-3,3
Michael Badgley,3123052,401127907,2019,10,LAC,24,OAK,13,0-0,1-1,0-0,0-0,0-0,27,100.0,1-1,27,3-3,6
Michael Badgley,3123052,401128134,2019,11,LAC,24,KC,12,0-0,2-3,0-0,1-1,0-0,49,75.0,3-4,34,0-0,9
Michael Badgley,3123052,401128113,2019,15,LAC,24,MIN,16,0-0,0-0,0-0,1-1,0-0,41,100.0,1-1,41,1-1,4
Michael Badgley,3123052,401128104,2019,13,LAC,24,DEN,7,0-0,0-0,1-1,1-1,0-1,46,66.7,2-3,38,2-2,8
Michael Badgley,3123052,401127896,2019,16,LAC,24,OAK,13,0-0,1-1,0-0,0-0,0-0,27,100.0,1-1,27,2-2,5
Michael Badgley,3123052,401128090,2019,9,LAC,24,GB,9,0-0,1-1,1-1,2-3,0-0,43,80.0,4-5,36,2-2,14
Michael Badgley,3123052,401127997,2019,14,LAC,24,JAX,30,0-0,0-0,0-0,1-1,0-0,40,100.0,1-1,40,6-6,9
Michael Badgley,3123052,401030897,2018,16,LAC,24,BAL,33,0-0,0-0,1-1,0-0,0-0,38,100.0,1-1,38,1-1,4
Michael Badgley,3123052,401030851,2018,14,LAC,24,CIN,4,0-0,0-0,2-2,1-1,1-1,59,100.0,4-4,42,2-2,14
Michael Badgley,3123052,401030874,2018,15,LAC,24,KC,12,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,3-3,3
Michael Badgley,3123052,401030951,2018,13,LAC,24,PIT,23,0-0,1-1,0-0,0-0,0-1,29,50.0,1-2,29,2-2,5
Michael Badgley,3123052,401030792,2018,7,LAC,24,TEN,10,0-0,2-2,0-0,0-0,0-0,29,100.0,2-2,28,2-2,8
Michael Badgley,3123052,401038955,2018,1,LAC,24,BAL,33,0-0,1-1,1-1,2-3,1-1,53,83.3,5-6,39,0-0,15
Michael Badgley,3123052,401030969,2018,11,LAC,24,DEN,7,0-0,0-0,1-1,2-2,0-0,46,100.0,3-3,40,1-2,10
Michael Badgley,3123052,401030859,2018,10,LAC,24,OAK,13,0-0,1-1,0-0,1-1,0-0,41,100.0,2-2,34,2-2,8
Michael Badgley,3123052,401038959,2018,2,LAC,24,NE,17,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,2-2,2
Michael Badgley,3123052,401030824,2018,17,LAC,24,DEN,7,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,3-3,3
Michael Badgley,3123052,401030912,2018,12,LAC,24,ARI,22,0-0,0-0,1-1,0-0,0-0,31,100.0,1-1,31,6-6,9
Michael Badgley,3123052,401030746,2018,6,LAC,24,CLE,5,0-0,0-0,0-0,1-1,0-0,44,100.0,1-1,44,5-5,8
Dan Bailey,14322,401220301,2020,6,MIN,16,ATL,1,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,1-1,1
Dan Bailey,14322,401220367,2020,5,MIN,16,SEA,26,0-0,0-0,0-0,1-1,1-1,52,100.0,2-2,49,2-2,8
Dan Bailey,14322,401220300,2020,1,MIN,16,GB,9,0-0,0-0,1-1,0-0,0-0,35,100.0,1-1,35,1-1,4
Dan Bailey,14322,401220303,2020,13,MIN,16,JAX,30,0-0,1-1,0-0,1-1,0-1,48,66.7,2-3,36,1-3,7
Dan Bailey,14322,401220324,2020,16,MIN,16,NO,18,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,3-4,3
Dan Bailey,14322,401220302,2020,12,MIN,16,CAR,29,0-0,1-1,0-0,0-0,1-1,53,100.0,2-2,39,2-2,8
Dan Bailey,14322,401220305,2020,11,MIN,16,DAL,6,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,4-4,4
Dan Bailey,14322,401220304,2020,3,MIN,16,TEN,10,0-0,0-0,0-0,1-2,0-0,41,50.0,1-2,41,3-3,6
Dan Bailey,14322,401220292,2020,8,MIN,16,GB,9,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,4-4,4
Dan Bailey,14322,401220284,2020,17,MIN,16,DET,8,0-0,1-1,0-0,0-1,0-0,23,50.0,1-2,23,4-5,7
Dan Bailey,14322,401220184,2020,4,MIN,16,HOU,34,0-0,0-0,1-1,0-0,0-1,31,50.0,1-2,31,4-4,7
Dan Bailey,14322,401220332,2020,14,MIN,16,TB,27,0-0,0-0,0-1,0-1,0-1,0,0.0,0-3,-,0-1,0
Dan Bailey,14322,401220299,2020,9,MIN,16,DET,8,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,4-5,4
Dan Bailey,14322,401220298,2020,15,MIN,16,CHI,3,0-0,2-2,0-0,0-0,0-0,24,100.0,2-2,23,3-3,9
Dan Bailey,14322,401220276,2020,10,MIN,16,CHI,3,0-0,0-0,1-1,1-1,0-0,43,100.0,2-2,40,1-1,7
Dan Bailey,14322,401220192,2020,2,MIN,16,IND,11,0-0,1-1,0-0,0-0,0-0,21,100.0,1-1,21,0-0,3
Dan Bailey,14322,401030763,2018,17,MIN,16,CHI,3,0-0,0-0,0-0,1-1,0-0,45,100.0,1-1,45,1-1,4
Dan Bailey,14322,401030786,2018,8,MIN,16,NO,18,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,2-3,2
Dan Bailey,14322,401030742,2018,6,MIN,16,ARI,22,0-0,0-0,1-1,1-1,0-0,48,100.0,2-2,42,3-3,9
Dan Bailey,14322,400951672,2017,13,DAL,6,WSH,28,0-0,1-1,0-0,0-0,0-0,24,100.0,1-1,24,5-5,8
Dan Bailey,14322,400874647,2016,17,DAL,6,PHI,21,0-0,1-1,0-0,1-1,0-0,49,100.0,2-2,36,1-1,7
Dan Bailey,14322,400874713,2016,13,DAL,6,MIN,16,0-0,0-0,1-1,0-0,0-0,39,100.0,1-1,39,2-2,5
Dan Bailey,14322,400874538,2016,10,DAL,6,PIT,23,0-0,0-0,1-1,1-1,1-1,53,100.0,3-3,45,2-2,11
Dan Bailey,14322,400874638,2016,11,DAL,6,BAL,33,0-0,1-1,1-1,0-0,0-0,30,100.0,2-2,26,3-3,9
Dan Bailey,14322,400874518,2016,2,DAL,6,WSH,28,0-0,1-1,1-1,0-0,0-0,31,100.0,2-2,26,3-3,9
Dan Bailey,14322,400874629,2016,8,DAL,6,PHI,21,0-0,1-1,1-1,1-1,0-0,49,100.0,3-3,37,2-2,11
Dan Bailey,14322,400874650,2016,3,DAL,6,CHI,3,0-0,0-0,0-0,1-2,0-0,49,50.0,1-2,49,4-4,7
Dan Bailey,14322,400874574,2016,1,DAL,6,NYG,19,0-0,2-2,0-0,0-0,2-2,56,100.0,4-4,40,1-1,13
Dan Bailey,14322,400874630,2016,5,DAL,6,CIN,4,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,4-4,4
Dan Bailey,14322,400874674,2016,4,DAL,6,SF,25,0-0,1-1,0-0,0-1,0-0,22,50.0,1-2,22,3-3,6
Dan Bailey,14322,400874499,2016,12,DAL,6,WSH,28,0-0,0-0,0-0,1-1,0-0,46,100.0,1-1,46,4-4,7
Dan Bailey,14322,400874588,2016,16,DAL,6,DET,8,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,6-6,6
Dan Bailey,14322,400874599,2016,9,DAL,6,CLE,5,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,5-5,5
Dan Bailey,14322,400874656,2016,14,DAL,6,NYG,19,0-0,0-0,0-0,0-0,0-1,0,0.0,0-1,-,1-1,1
Dan Bailey,14322,400874733,2016,6,DAL,6,GB,9,0-0,1-1,1-1,1-1,0-0,44,100.0,3-3,33,3-3,12
Dan Bailey,14322,400874679,2016,15,DAL,6,TB,27,0-0,1-1,2-2,1-1,0-2,40,66.7,4-6,34,2-2,14
Dan Bailey,14322,400927749,2016,2,DAL,6,GB,9,0-0,0-0,1-1,0-0,2-2,52,100.0,3-3,45,2-2,11
Dan Bailey,14322,400791559,2015,5,DAL,6,NE,17,0-0,1-1,0-0,0-0,1-1,51,100.0,2-2,37,0-0,6
Dan Bailey,14322,400791703,2015,11,DAL,6,MIA,15,0-0,0-0,1-1,0-0,0-0,30,100.0,1-1,30,3-3,6
Dan Bailey,14322,400791535,2015,16,DAL,6,BUF,2,0-0,1-1,0-0,1-1,0-1,46,66.7,2-3,34,0-0,6
Dan Bailey,14322,400791656,2015,15,DAL,6,NYJ,20,0-0,1-1,1-1,0-0,1-1,50,100.0,3-3,38,1-1,10
Dan Bailey,14322,400791612,2015,14,DAL,6,GB,9,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,1-1,1
Dan Bailey,14322,400791734,2015,9,DAL,6,PHI,21,0-0,0-0,0-0,2-2,0-0,44,100.0,2-2,42,3-3,9
Dan Bailey,14322,400791720,2015,4,DAL,6,NO,18,0-0,0-0,2-2,0-0,0-0,38,100.0,2-2,34,2-2,8
Dan Bailey,14322,400791564,2015,7,DAL,6,NYG,19,0-0,0-0,1-1,1-1,0-0,48,100.0,2-2,39,2-2,8
Dan Bailey,14322,400791686,2015,13,DAL,6,WSH,28,0-0,1-1,2-2,0-0,1-1,54,100.0,4-4,36,1-1,13
Dan Bailey,14322,400791651,2015,17,DAL,6,WSH,28,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,3-3,3
Dan Bailey,14322,400791494,2015,10,DAL,6,TB,27,0-0,0-0,0-0,1-2,1-1,53,66.7,2-3,48,0-0,6
Dan Bailey,14322,400791681,2015,8,DAL,6,SEA,26,0-0,1-1,2-2,0-0,1-1,52,100.0,4-4,37,0-0,12
Dan Bailey,14322,400858208,2015,4,IRV,36,RIC,35,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,5-5,5
Dan Bailey,14322,400791491,2015,3,DAL,6,ATL,1,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,4-4,4
Dan Bailey,14322,400791590,2015,1,DAL,6,NYG,19,0-0,1-1,1-1,0-0,0-0,32,100.0,2-2,26,3-3,9
Dan Bailey,14322,400791509,2015,12,DAL,6,CAR,29,0-0,1-1,0-0,1-1,0-0,48,100.0,2-2,34,0-0,6
Dan Bailey,14322,400791705,2015,2,DAL,6,PHI,21,0-0,2-2,0-0,0-0,0-0,28,100.0,2-2,24,2-2,8
Dan Bailey,14322,400554407,2014,17,DAL,6,WSH,28,0-0,1-1,2-2,0-0,0-0,36,100.0,3-3,30,5-5,14
Dan Bailey,14322,400554319,2014,4,DAL,6,NO,18,0-0,0-0,0-0,0-0,1-1,51,100.0,1-1,51,5-5,8
Dan Bailey,14322,400554349,2014,14,DAL,6,CHI,3,0-0,1-1,1-1,0-0,0-0,35,100.0,2-2,31,5-5,11
Dan Bailey,14322,400554305,2014,6,DAL,6,SEA,26,0-0,0-0,1-1,1-1,1-1,56,100.0,3-3,43,3-3,12
Dan Bailey,14322,400554206,2014,2,DAL,6,TEN,10,0-0,0-0,0-0,3-3,1-1,51,100.0,4-4,48,2-2,14
Dan Bailey,14322,400749518,2014,2,DAL,6,GB,9,0-0,0-0,0-0,0-0,0-1,0,0.0,0-1,-,3-3,3
Dan Bailey,14322,400554369,2014,12,DAL,6,NYG,19,0-0,0-0,1-1,0-0,0-0,38,100.0,1-1,38,4-4,7
Dan Bailey,14322,400554358,2014,10,DAL,6,JAX,30,0-0,0-0,0-0,0-1,1-1,54,50.0,1-2,54,4-4,7
Dan Bailey,14322,400554336,2014,8,DAL,6,WSH,28,0-0,1-1,0-0,0-0,0-0,21,100.0,1-1,21,2-2,5
Dan Bailey,14322,400554425,2014,15,DAL,6,PHI,21,0-0,0-0,0-0,1-1,0-0,49,100.0,1-1,49,5-5,8
Dan Bailey,14322,400554337,2014,9,DAL,6,ARI,22,0-0,0-0,0-1,0-0,1-1,52,50.0,1-2,52,2-2,5
Dan Bailey,14322,400554304,2014,7,DAL,6,NYG,19,0-0,0-0,0-0,1-1,0-0,49,100.0,1-1,49,4-4,7
Dan Bailey,14322,400554444,2014,16,DAL,6,IND,11,0-0,0-0,0-0,0-0,0-1,0,0.0,0-1,-,6-6,6
Dan Bailey,14322,400554269,2014,1,DAL,6,SF,25,0-0,1-1,0-0,0-0,0-0,29,100.0,1-1,29,2-2,5
Dan Bailey,14322,400749514,2014,1,DAL,6,DET,8,0-0,0-0,0-0,0-1,1-1,51,50.0,1-2,51,3-3,6
Dan Bailey,14322,400554234,2014,5,DAL,6,HOU,34,0-0,0-0,1-1,1-1,0-1,49,66.7,2-3,41,2-2,8
Dan Bailey,14322,400554199,2014,3,DAL,6,STL,14,0-0,1-1,0-0,1-1,0-0,40,100.0,2-2,34,4-4,10
Dan Bailey,14322,400554285,2014,13,DAL,6,PHI,21,0-0,1-1,0-0,0-0,0-0,28,100.0,1-1,28,1-1,4
Dan Bailey,14322,331006006,2013,5,DAL,6,DEN,7,0-0,0-0,0-0,2-2,0-0,48,100.0,2-2,46,4-4,10
Dan Bailey,14322,331027008,2013,8,DAL,6,DET,8,0-0,0-0,0-0,1-1,2-2,53,100.0,3-3,50,3-3,12
Dan Bailey,14322,330922006,2013,3,DAL,6,STL,14,1-1,0-0,0-1,0-0,0-0,19,50.0,1-2,19,4-4,7
Dan Bailey,14322,330929024,2013,4,DAL,6,SD,24,0-0,0-0,0-0,0-0,0-1,0,0.0,0-1,-,3-3,3
Dan Bailey,14322,331222028,2013,16,DAL,6,WSH,28,0-0,1-1,0-0,0-0,0-0,25,100.0,1-1,25,3-3,6
Dan Bailey,14322,331110018,2013,10,DAL,6,NO,18,0-0,0-0,1-1,0-0,0-0,37,100.0,1-1,37,2-2,5
Dan Bailey,14322,330908006,2013,1,DAL,6,NYG,19,0-0,0-0,2-2,1-1,0-0,45,100.0,3-3,38,3-3,12
Dan Bailey,14322,331229006,2013,17,DAL,6,PHI,21,0-0,0-0,1-1,2-2,0-0,44,100.0,3-3,41,1-1,10
Dan Bailey,14322,331124019,2013,12,DAL,6,NYG,19,0-0,0-0,1-1,0-0,0-0,35,100.0,1-1,35,3-3,6
Dan Bailey,14322,331128006,2013,13,DAL,6,OAK,13,1-1,0-0,0-0,0-0,0-0,19,100.0,1-1,19,4-4,7
Dan Bailey,14322,331013006,2013,6,DAL,6,WSH,28,0-0,0-0,1-1,0-0,0-0,30,100.0,1-1,30,4-4,7
Dan Bailey,14322,331103006,2013,9,DAL,6,MIN,16,0-0,0-0,0-0,2-2,0-0,44,100.0,2-2,42,3-3,9
Dan Bailey,14322,331215006,2013,15,DAL,6,GB,9,0-0,1-1,0-0,2-2,2-2,50,100.0,5-5,43,3-3,18
Dan Bailey,14322,330915012,2013,2,DAL,6,KC,12,0-0,0-0,1-1,0-0,2-2,53,100.0,3-3,45,1-1,10
Dan Bailey,14322,331020021,2013,7,DAL,6,PHI,21,0-0,0-0,1-1,0-0,0-0,38,100.0,1-1,38,2-2,5
Dan Bailey,14322,320905019,2012,1,DAL,6,NYG,19,0-0,0-0,1-1,0-0,0-0,33,100.0,1-1,33,3-3,6
Dan Bailey,14322,321028006,2012,8,DAL,6,NYG,19,0-0,0-0,0-0,0-0,1-1,51,100.0,1-1,51,3-3,6
Dan Bailey,14322,321111021,2012,10,DAL,6,PHI,21,0-0,0-0,1-1,0-0,0-0,30,100.0,1-1,30,5-5,8
Dan Bailey,14322,321104001,2012,9,DAL,6,ATL,1,0-0,1-1,1-1,0-0,0-1,32,66.7,2-3,28,1-1,7
Dan Bailey,14322,321202006,2012,13,DAL,6,PHI,21,0-0,0-0,1-1,0-0,0-0,39,100.0,1-1,39,5-5,8
Dan Bailey,14322,321118006,2012,11,DAL,6,CLE,5,0-0,0-0,2-2,1-1,0-0,44,100.0,3-3,38,2-2,11
Dan Bailey,14322,320923006,2012,3,DAL,6,TB,27,0-0,2-2,1-1,0-0,0-0,32,100.0,3-3,27,1-1,10
Dan Bailey,14322,321223006,2012,16,DAL,6,NO,18,0-0,0-0,0-0,1-1,0-0,47,100.0,1-1,47,4-4,7
Dan Bailey,14322,321014033,2012,6,DAL,6,BAL,33,0-0,0-0,1-1,2-2,0-1,43,75.0,3-4,40,2-2,11
Dan Bailey,14322,320916026,2012,2,DAL,6,SEA,26,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,1-1,1
Dan Bailey,14322,321209004,2012,14,DAL,6,CIN,4,0-0,0-0,1-1,1-1,0-0,40,100.0,2-2,38,2-2,8
Dan Bailey,14322,321122006,2012,12,DAL,6,WSH,28,0-0,0-0,2-2,0-0,1-1,51,100.0,3-3,38,2-2,11
Dan Bailey,14322,321021029,2012,7,DAL,6,CAR,29,1-1,1-1,1-1,1-1,0-0,49,100.0,4-4,34,1-1,13
Dan Bailey,14322,321230028,2012,17,DAL,6,WSH,28,0-0,0-0,0-0,1-1,0-0,48,100.0,1-1,48,1-1,4
Dan Bailey,14322,321216006,2012,15,DAL,6,PIT,23,0-0,1-1,0-0,0-0,1-1,50,100.0,2-2,36,3-3,9
Dan Bailey,14322,311113006,2011,10,DAL,6,BUF,2,0-0,0-0,2-2,1-1,0-0,45,100.0,3-3,37,5-5,14
Dan Bailey,14322,311002006,2011,4,DAL,6,DET,8,0-0,1-1,1-1,1-1,0-0,41,100.0,3-3,33,3-3,12
Dan Bailey,14322,311224006,2011,16,DAL,6,PHI,21,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,1-1,1
Dan Bailey,14322,311030021,2011,8,DAL,6,PHI,21,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,1-1,1
Dan Bailey,14322,311204022,2011,13,DAL,6,ARI,22,0-0,0-0,1-1,0-1,1-2,50,50.0,2-4,44,1-1,7
Dan Bailey,14322,310918025,2011,2,DAL,6,SF,25,1-1,0-1,0-0,1-1,0-0,48,66.7,2-3,34,3-3,9
Dan Bailey,14322,310911020,2011,1,DAL,6,NYJ,20,0-0,0-0,1-1,0-0,0-0,34,100.0,1-1,34,3-3,6
Dan Bailey,14322,311124006,2011,12,DAL,6,MIA,15,0-0,1-1,1-1,0-0,0-0,32,100.0,2-2,30,2-2,8
Dan Bailey,14322,311016017,2011,6,DAL,6,NE,17,0-0,2-2,0-0,1-1,0-0,48,100.0,3-3,32,1-1,10
Dan Bailey,14322,311023006,2011,7,DAL,6,STL,14,0-0,0-0,1-1,0-0,1-1,51,100.0,2-2,40,4-4,10
Dan Bailey,14322,320101019,2011,17,DAL,6,NYG,19,0-0,0-0,0-0,0-0,0-1,0,0.0,0-1,-,2-2,2
Dan Bailey,14322,311106006,2011,9,DAL,6,SEA,26,0-0,2-2,0-0,1-1,0-0,42,100.0,3-3,27,2-2,11
Dan Bailey,14322,311217027,2011,15,DAL,6,TB,27,0-0,0-0,1-1,0-0,0-0,30,100.0,1-1,30,4-4,7
