team,teamID,gameID,season,week,opponent,opponentID,completions,passingAttempts,passingYards,completionPct,yardsPerPassAttempt,yardsPerCompletion,passingTouchdowns,interceptions,sacks,rushingYards,rushingAttempts,yardsPerRushAttempt,rushingTouchdowns,receivingTouchdowns,fumbles,fumblesRecovered,fieldGoalsMade1_19,fieldGoalsMade20_29,fieldGoalsMade30_39,fieldGoalsMade40_49,fieldGoalsMade50,extraPointsMade,totalKickingPoints
KC,15,400951625,2017,16,KC,12,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
KC,7,400791624,2015,2,KC,12,28,42,302,66.7,7.2,10.79,2,0,0,6.0,7,0.86,1,4,0,0,0,0,0,0,1,4,7,37
KC,16,400791625,2015,6,KC,12,17,31,249,54.8,8.0,14.65,1,2,2,57.0,30,1.9,0,1,1,0,0,1,0,2,0,1,10,16
KC,13,400791648,2015,17,KC,12,21,33,194,63.6,5.9,9.24,1,1,6,43.0,13,3.31,0,0,0,0,0,0,0,0,0,0,0,0
KC,13,400791655,2015,13,KC,12,31,48,283,64.6,5.9,9.13,2,3,4,79.0,21,3.76,1,0,2,0,0,0,0,0,0,0,0,6
KC,34,400791493,2015,1,KC,12,18,34,236,52.9,6.9,13.11,1,1,4,-1.0,1,-1.0,0,2,0,0,0,0,1,1,0,0,6,18
KC,23,400791527,2015,7,KC,12,16,29,209,55.2,7.2,13.06,1,2,2,125.0,19,6.58,0,0,0,0,0,1,1,0,0,1,7,7
KC,9,400791635,2015,3,KC,12,24,35,333,68.6,9.5,13.88,5,0,1,28.0,3,9.33,0,4,0,0,0,0,0,1,0,5,8,32
KC,8,400761516,2015,8,KC,12,22,36,217,61.1,6.0,9.86,1,2,6,8.0,2,4.0,0,0,0,0,0,0,1,0,0,1,4,4
KC,2,400791504,2015,12,KC,12,21,38,291,55.3,7.7,13.86,3,0,1,116.0,24,4.83,0,3,1,1,0,0,0,0,0,0,0,18
KC,33,400791696,2015,15,KC,12,0,0,0,0,0,0,0,0,0,18.0,4,4.5,0,0,1,1,0,0,0,0,0,2,2,2
KC,4,400791712,2015,4,KC,12,0,0,0,0,0,0,0,0,0,108.0,23,4.7,4,0,0,0,0,0,0,0,0,4,4,28
KC,5,400791521,2015,16,KC,12,0,0,0,0,0,0,0,0,0,114.0,24,4.75,1,0,0,0,0,0,0,0,0,0,0,6
KC,24,400791577,2015,14,KC,12,0,0,0,0,0,0,0,0,0,35.0,14,2.5,0,0,0,0,0,0,1,0,0,0,3,3
KC,24,400791715,2015,11,KC,12,0,0,0,0,0,0,0,0,0,37.0,15,2.47,0,0,0,0,0,0,0,0,1,0,3,3
KC,7,400791595,2015,10,KC,12,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
KC,17,400554325,2014,4,KC,12,14,23,159,60.9,6.9,11.36,1,2,2,0.0,0,0,0,1,0,0,0,0,0,0,0,2,2,8
KC,13,400554376,2014,15,KC,12,27,56,222,48.2,4.0,8.22,1,0,4,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0
KC,13,400554293,2014,12,KC,12,18,35,174,51.4,5.0,9.67,1,0,1,2.0,3,0.67,0,0,0,0,0,0,0,0,0,0,0,0
KC,20,400554341,2014,9,KC,12,3,8,39,37.5,4.9,13.0,0,0,0,22.0,6,3.67,0,0,0,0,0,0,1,0,0,1,4,4
KC,15,400554280,2014,3,KC,12,21,43,205,48.8,4.8,9.76,1,0,4,117.0,16,7.31,0,0,0,0,0,0,0,0,0,0,0,0
KC,26,400554348,2014,11,KC,12,20,32,178,62.5,5.6,8.9,2,0,2,206.0,36,5.72,0,0,1,0,0,2,0,0,0,2,8,8
KC,23,400554434,2014,16,KC,12,0,0,0,0,0,0,0,0,0,63.0,20,3.15,1,1,0,0,0,0,0,0,0,0,0,12
KC,25,400554251,2014,5,KC,12,0,0,0,0,0,0,0,0,0,107.0,18,5.94,0,0,1,0,0,0,0,0,0,0,0,0
KC,24,400554297,2014,7,KC,12,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KC,14,400554227,2014,8,KC,12,0,0,0,0,0,0,0,0,0,7.0,2,3.5,0,1,0,0,0,0,0,0,0,1,1,7
KC,22,400554429,2014,14,KC,12,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,2,1,0,0,9,15
KC,7,400554395,2014,13,KC,12,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KC,7,400554291,2014,2,KC,12,0,0,0,0,0,0,0,0,0,-2.0,1,-2.0,0,0,0,0,0,0,0,0,0,0,0,0
KC,2,400554332,2014,10,KC,12,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KC,10,400554260,2014,1,KC,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,14,14
KC,17,280907017,2008,1,KC,12,7,11,76,63.6,6.9,10.86,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,2,5,5
KC,1,280921001,2008,3,KC,12,12,18,192,66.7,10.7,16.0,1,0,0,15.0,1,15.0,0,0,0,0,0,0,0,0,0,0,0,0
KC,2,281123012,2008,12,KC,12,0,0,0,0,0,0,0,0,0,79.0,20,3.95,1,0,0,0,0,0,0,0,0,0,0,6
KC,15,281221012,2008,16,KC,12,0,0,0,0,0,0,0,0,0,31.0,1,31.0,1,0,0,0,0,0,0,0,0,0,0,6
KC,7,281207007,2008,14,KC,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,6,6
KC,7,280928012,2008,4,KC,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,13,13
KC,17,251127012,2005,12,KC,12,22,40,248,55.0,6.2,11.27,1,4,3,15.0,1,15.0,0,0,0,0,0,1,0,0,0,1,4,4
KC,20,250911012,2005,1,KC,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
KC,17,220922017,2002,3,KC,12,39,54,410,72.2,7.6,10.51,4,1,4,2.0,1,2.0,0,0,0,0,0,0,2,0,0,3,9,9
KC,28,331208028,2013,14,KC,12,12,26,164,46.2,6.3,13.67,1,1,5,60.0,16,3.75,0,0,0,0,0,0,0,0,0,0,0,0
KC,11,340104011,2013,1,KC,12,3,6,36,50.0,6.0,12.0,0,0,0,16.0,4,4.0,0,2,0,0,0,0,1,0,0,6,9,21
KC,34,331020012,2013,7,KC,12,15,25,271,60.0,10.8,18.07,1,0,5,10.0,3,3.33,0,1,0,0,0,1,0,2,0,1,10,16
KC,13,331215013,2013,15,KC,12,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
KC,21,330919021,2013,3,KC,12,0,0,0,0,0,0,0,0,0,158.0,20,7.9,1,0,0,0,0,0,0,0,0,0,0,6
KC,24,331124012,2013,12,KC,12,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KC,24,331229024,2013,17,KC,12,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KC,6,330915012,2013,2,KC,12,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,2,1,10,16
KC,5,331027012,2013,8,KC,12,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
KC,11,331222012,2013,16,KC,12,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,2,0,2,11,11
KC,2,331103002,2013,9,KC,12,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KC,19,330929012,2013,4,KC,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
KC,7,331117007,2013,11,KC,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,9,9
KC,4,321118012,2012,11,KC,12,18,29,230,62.1,7.9,12.78,2,0,2,13.0,5,2.6,1,2,0,0,0,0,0,0,0,4,4,22
KC,33,321007012,2012,5,KC,12,13,27,187,48.1,6.9,14.38,0,1,4,14.0,3,4.67,0,0,0,0,0,2,1,0,0,0,9,9
KC,5,321209005,2012,14,KC,12,0,0,0,0.0,0.0,0,0,0,0,-2.0,2,-1.0,0,0,0,0,0,0,0,0,0,0,0,0
KC,1,320909012,2012,1,KC,12,23,31,299,74.2,9.6,13.0,3,0,1,25.0,3,8.33,1,2,0,0,0,0,0,0,0,0,0,18
KC,18,320923018,2012,3,KC,12,0,0,0,0,0,0,0,0,0,11.0,5,2.2,0,1,0,0,0,0,0,0,0,0,0,6
